# Program:featureCounts v1.6.4; Command:"featureCounts" "-M" "--fraction" "-t" "gene" "-g" "ID" "-s" "0" "-a" "/pub37/alexp/data/TRADIS/v2_WY_macro/P125109_v3_2018.tradis.gff" "-o" "P125109_output_MAC_1.deseq.fc.tsv" "P125109_output_MAC_1.deseq.bam" 
Geneid	Chr	Start	End	Strand	Length	P125109_output_MAC_1.deseq.bam
P125109_00001	P125109_v1_chr	169	255	+	87	459
P125109_00002	P125109_v1_chr	337	2799	+	2463	1280
P125109_00003	P125109_v1_chr	2801	3730	+	930	153
P125109_00004	P125109_v1_chr	3734	5020	+	1287	826
P125109_00005	P125109_v1_chr	5114	5887	-	774	641
P125109_00006	P125109_v1_chr	5966	7396	-	1431	846
P125109_00007	P125109_v1_chr	7665	8618	+	954	351
P125109_00008	P125109_v1_chr	8729	9319	+	591	805
P125109_00009	P125109_v1_chr	9376	9942	-	567	814
P125109_00010	P125109_v1_chr	10092	10805	-	714	683
P125109_00011	P125109_v1_chr	10841	11245	-	405	31
P125109_00012	P125109_v1_chr	11594	13510	+	1917	2
P125109_00013	P125109_v1_chr	13508	13592	+	85	10
P125109_00014	P125109_v1_chr	13596	14735	+	1140	26
P125109_00015	P125109_v1_chr	14682	14822	-	141	47
P125109_00016	P125109_v1_chr	14721	14785	+	65	0
P125109_00017	P125109_v1_chr	15016	15963	+	948	782
P125109_00018	P125109_v1_chr	16090	16434	+	345	44
P125109_00019	P125109_v1_chr	16447	16495	-	49	86
P125109_00020	P125109_v1_chr	16495	17028	-	534	614
P125109_00021	P125109_v1_chr	17027	17113	+	87	0
P125109_00022	P125109_v1_chr	17045	17488	-	444	88
P125109_00023	P125109_v1_chr	17869	19968	+	2100	898
P125109_00024	P125109_v1_chr	20060	23056	+	2997	2419
P125109_00025	P125109_v1_chr	23337	24041	+	705	1089
P125109_00026	P125109_v1_chr	24471	25013	+	543	2064
P125109_00027	P125109_v1_chr	25114	25800	+	687	930
P125109_00028	P125109_v1_chr	25805	28426	+	2622	1848
P125109_00029	P125109_v1_chr	28427	29434	+	1008	1102
P125109_00030	P125109_v1_chr	29435	29980	+	546	294
P125109_00031	P125109_v1_chr	29996	30514	+	519	294
P125109_00032	P125109_v1_chr	30480	31211	+	732	640
P125109_00033	P125109_v1_chr	31275	32120	+	846	499
P125109_00034	P125109_v1_chr	32159	32446	+	288	235
P125109_00035	P125109_v1_chr	32546	32995	-	450	12
P125109_00036	P125109_v1_chr	33357	34361	+	1005	14
P125109_00037	P125109_v1_chr	34369	34809	-	441	0
P125109_00038	P125109_v1_chr	35332	37050	+	1719	4995
P125109_00039	P125109_v1_chr	37096	38658	-	1563	2047
P125109_00040	P125109_v1_chr	38766	39527	-	762	304
P125109_00041	P125109_v1_chr	40121	41614	+	1494	1233
P125109_00042	P125109_v1_chr	41619	41698	+	80	64
P125109_00043	P125109_v1_chr	41713	42903	+	1191	1126
P125109_00044	P125109_v1_chr	42928	44175	+	1248	3612
P125109_00045	P125109_v1_chr	44302	46017	+	1716	3626
P125109_00046	P125109_v1_chr	46180	47346	+	1167	432
P125109_00047	P125109_v1_chr	47414	48307	+	894	350
P125109_00048	P125109_v1_chr	48362	50401	-	2040	1672
P125109_00049	P125109_v1_chr	50441	51814	-	1374	1485
P125109_00050	P125109_v1_chr	52270	52533	-	264	0
P125109_00051	P125109_v1_chr	52309	52518	+	210	0
P125109_00052	P125109_v1_chr	52639	52854	+	216	129
P125109_00053	P125109_v1_chr	52862	53800	+	939	0
P125109_00054	P125109_v1_chr	53845	56679	+	2835	15
P125109_00055	P125109_v1_chr	56679	57179	+	501	0
P125109_00056	P125109_v1_chr	57334	57783	+	450	118
P125109_00057	P125109_v1_chr	57786	58736	+	951	3
P125109_00058	P125109_v1_chr	58936	59931	+	996	731
P125109_00059	P125109_v1_chr	59897	60139	+	243	1
P125109_00060	P125109_v1_chr	60155	61075	+	921	308
P125109_00061	P125109_v1_chr	61097	61783	-	687	1933
P125109_00062	P125109_v1_chr	61785	63443	-	1659	6500
P125109_00063	P125109_v1_chr	61798	62025	+	228	0
P125109_00064	P125109_v1_chr	63539	64840	-	1302	941
P125109_00065	P125109_v1_chr	64853	66622	-	1770	1059
P125109_00066	P125109_v1_chr	66639	66878	-	240	357
P125109_00067	P125109_v1_chr	66897	67036	-	140	0
P125109_00068	P125109_v1_chr	66901	67033	+	133	0
P125109_00069	P125109_v1_chr	67037	68377	-	1341	2125
P125109_00070	P125109_v1_chr	68697	69665	+	969	586
P125109_00071	P125109_v1_chr	69695	69988	+	294	207
P125109_00072	P125109_v1_chr	69985	70854	+	870	538
P125109_00073	P125109_v1_chr	70865	72385	+	1521	607
P125109_00074	P125109_v1_chr	72385	72936	+	552	530
P125109_00075	P125109_v1_chr	72914	73822	+	909	319
P125109_00076	P125109_v1_chr	74002	74823	+	822	1
P125109_00077	P125109_v1_chr	74829	74906	+	78	137
P125109_00078	P125109_v1_chr	74876	74989	-	114	8
P125109_00079	P125109_v1_chr	75685	76833	+	1149	57
P125109_00080	P125109_v1_chr	76852	80079	+	3228	203
P125109_00081	P125109_v1_chr	80353	80748	+	396	1032
P125109_00082	P125109_v1_chr	80826	81422	-	597	589
P125109_00083	P125109_v1_chr	81532	82317	-	786	1005
P125109_00084	P125109_v1_chr	82371	83924	-	1554	2171
P125109_00085	P125109_v1_chr	83987	85204	-	1218	1102
P125109_00086	P125109_v1_chr	85316	86458	-	1143	780
P125109_00087	P125109_v1_chr	86493	88010	-	1518	1595
P125109_00088	P125109_v1_chr	88491	89261	+	771	382
P125109_00089	P125109_v1_chr	89277	90218	+	942	310
P125109_00090	P125109_v1_chr	90268	91554	+	1287	414
P125109_00091	P125109_v1_chr	91551	91838	+	288	18
P125109_00092	P125109_v1_chr	91985	93325	+	1341	1313
P125109_00093	P125109_v1_chr	93414	93644	+	231	503
P125109_00094	P125109_v1_chr	93930	94352	+	423	2172
P125109_00095	P125109_v1_chr	94455	94543	-	89	309
P125109_00096	P125109_v1_chr	94576	94866	-	291	830
P125109_00097	P125109_v1_chr	94904	94990	+	87	264
P125109_00098	P125109_v1_chr	95076	95270	+	195	248
P125109_00099	P125109_v1_chr	95764	97653	+	1890	2310
P125109_00100	P125109_v1_chr	98060	98590	+	531	460
P125109_00101	P125109_v1_chr	98583	100445	+	1863	517
P125109_00102	P125109_v1_chr	100644	101123	+	480	0
P125109_00103	P125109_v1_chr	101124	101285	-	162	234
P125109_00104	P125109_v1_chr	101229	102077	-	849	1
P125109_00105	P125109_v1_chr	102088	102465	-	378	341
P125109_00106	P125109_v1_chr	102468	103289	-	822	18
P125109_00107	P125109_v1_chr	103286	104275	-	990	665
P125109_00108	P125109_v1_chr	104275	105561	-	1287	171
P125109_00109	P125109_v1_chr	105615	107975	-	2361	166
P125109_00110	P125109_v1_chr	108229	109041	+	813	283
P125109_00111	P125109_v1_chr	109045	109124	-	80	8
P125109_00112	P125109_v1_chr	109136	109795	-	660	521
P125109_00113	P125109_v1_chr	109807	112713	-	2907	2196
P125109_00114	P125109_v1_chr	112887	115238	-	2352	794
