# Program:featureCounts v1.6.4; Command:"featureCounts" "-M" "-t" "gene" "-g" "ID" "-s" "0" "-a" "/pub37/alexp/data/TRADIS/v2_WY_macro/P125109_v3_2018.ess_90.gff" "-o" "P125109_output_MAC.ess.fc.tsv" "P125109_output_MAC.ess.bam" 
Geneid	Chr	Start	End	Strand	Length	P125109_output_MAC.ess.bam
P125109_00001	P125109_v1_chr	169	247	+	79	18
P125109_00002	P125109_v1_chr	337	2553	+	2217	62
P125109_00003	P125109_v1_chr	2801	3637	+	837	11
P125109_00004	P125109_v1_chr	3734	4892	+	1159	30
P125109_00005	P125109_v1_chr	5191	5887	-	697	23
P125109_00006	P125109_v1_chr	6109	7396	-	1288	38
P125109_00007	P125109_v1_chr	7665	8523	+	859	25
P125109_00008	P125109_v1_chr	8729	9260	+	532	29
P125109_00009	P125109_v1_chr	9432	9942	-	511	32
P125109_00010	P125109_v1_chr	10163	10805	-	643	18
P125109_00011	P125109_v1_chr	10881	11245	-	365	10
P125109_00012	P125109_v1_chr	11594	13319	+	1726	2
P125109_00013	P125109_v1_chr	13508	13584	+	77	4
P125109_00014	P125109_v1_chr	13596	14621	+	1026	15
P125109_00015	P125109_v1_chr	14696	14822	-	127	8
P125109_00016	P125109_v1_chr	14721	14779	+	59	0
P125109_00017	P125109_v1_chr	15016	15869	+	854	47
P125109_00018	P125109_v1_chr	16090	16400	+	311	10
P125109_00019	P125109_v1_chr	16451	16495	-	45	5
P125109_00020	P125109_v1_chr	16548	17028	-	481	36
P125109_00021	P125109_v1_chr	17027	17105	+	79	6
P125109_00022	P125109_v1_chr	17089	17488	-	400	11
P125109_00023	P125109_v1_chr	17869	19758	+	1890	57
P125109_00024	P125109_v1_chr	20060	22757	+	2698	61
P125109_00025	P125109_v1_chr	23337	23971	+	635	56
P125109_00026	P125109_v1_chr	24471	24959	+	489	84
P125109_00027	P125109_v1_chr	25114	25732	+	619	56
P125109_00028	P125109_v1_chr	25805	28164	+	2360	83
P125109_00029	P125109_v1_chr	28427	29334	+	908	44
P125109_00030	P125109_v1_chr	29435	29926	+	492	10
P125109_00031	P125109_v1_chr	29996	30463	+	468	13
P125109_00032	P125109_v1_chr	30480	31138	+	659	24
P125109_00033	P125109_v1_chr	31275	32036	+	762	16
P125109_00034	P125109_v1_chr	32159	32418	+	260	17
P125109_00035	P125109_v1_chr	32591	32995	-	405	2
P125109_00036	P125109_v1_chr	33357	34261	+	905	5
P125109_00037	P125109_v1_chr	34413	34809	-	397	0
P125109_00038	P125109_v1_chr	35332	36879	+	1548	236
P125109_00039	P125109_v1_chr	37252	38658	-	1407	89
P125109_00040	P125109_v1_chr	38842	39527	-	686	32
P125109_00041	P125109_v1_chr	40121	41465	+	1345	58
P125109_00042	P125109_v1_chr	41619	41690	+	72	3
P125109_00043	P125109_v1_chr	41713	42784	+	1072	46
P125109_00044	P125109_v1_chr	42928	44051	+	1124	134
P125109_00045	P125109_v1_chr	44302	45846	+	1545	163
P125109_00046	P125109_v1_chr	46180	47230	+	1051	28
P125109_00047	P125109_v1_chr	47414	48218	+	805	18
P125109_00048	P125109_v1_chr	48566	50401	-	1836	57
P125109_00049	P125109_v1_chr	50578	51814	-	1237	83
P125109_00050	P125109_v1_chr	52296	52533	-	238	0
P125109_00051	P125109_v1_chr	52309	52497	+	189	0
P125109_00052	P125109_v1_chr	52639	52833	+	195	4
P125109_00053	P125109_v1_chr	52862	53707	+	846	0
P125109_00054	P125109_v1_chr	53845	56396	+	2552	6
P125109_00055	P125109_v1_chr	56679	57129	+	451	0
P125109_00056	P125109_v1_chr	57334	57738	+	405	10
P125109_00057	P125109_v1_chr	57786	58641	+	856	2
P125109_00058	P125109_v1_chr	58936	59832	+	897	40
P125109_00059	P125109_v1_chr	59897	60115	+	219	2
P125109_00060	P125109_v1_chr	60155	60983	+	829	14
P125109_00061	P125109_v1_chr	61165	61783	-	619	59
P125109_00062	P125109_v1_chr	61950	63443	-	1494	228
P125109_00063	P125109_v1_chr	61798	62003	+	206	25
P125109_00064	P125109_v1_chr	63669	64840	-	1172	56
P125109_00065	P125109_v1_chr	65030	66622	-	1593	65
P125109_00066	P125109_v1_chr	66663	66878	-	216	9
P125109_00067	P125109_v1_chr	66911	67036	-	126	0
P125109_00068	P125109_v1_chr	66901	67020	+	120	0
P125109_00069	P125109_v1_chr	67171	68377	-	1207	80
P125109_00070	P125109_v1_chr	68697	69569	+	873	36
P125109_00071	P125109_v1_chr	69695	69959	+	265	6
P125109_00072	P125109_v1_chr	69985	70767	+	783	21
P125109_00073	P125109_v1_chr	70865	72233	+	1369	26
P125109_00074	P125109_v1_chr	72385	72881	+	497	16
P125109_00075	P125109_v1_chr	72914	73732	+	819	16
P125109_00076	P125109_v1_chr	74002	74741	+	740	1
P125109_00077	P125109_v1_chr	74829	74899	+	71	5
P125109_00078	P125109_v1_chr	74887	74989	-	103	2
P125109_00079	P125109_v1_chr	75685	76719	+	1035	16
P125109_00080	P125109_v1_chr	76852	79757	+	2906	38
P125109_00081	P125109_v1_chr	80353	80709	+	357	54
P125109_00082	P125109_v1_chr	80885	81422	-	538	20
P125109_00083	P125109_v1_chr	81610	82317	-	708	31
P125109_00084	P125109_v1_chr	82526	83924	-	1399	75
P125109_00085	P125109_v1_chr	84108	85204	-	1097	43
P125109_00086	P125109_v1_chr	85430	86458	-	1029	22
P125109_00087	P125109_v1_chr	86644	88010	-	1367	75
P125109_00088	P125109_v1_chr	88491	89184	+	694	25
P125109_00089	P125109_v1_chr	89277	90124	+	848	23
P125109_00090	P125109_v1_chr	90268	91426	+	1159	24
P125109_00091	P125109_v1_chr	91551	91810	+	260	7
P125109_00092	P125109_v1_chr	91985	93191	+	1207	38
P125109_00093	P125109_v1_chr	93414	93621	+	208	24
P125109_00094	P125109_v1_chr	93930	94310	+	381	66
P125109_00095	P125109_v1_chr	94463	94543	-	81	25
P125109_00096	P125109_v1_chr	94605	94866	-	262	42
P125109_00097	P125109_v1_chr	94904	94982	+	79	10
P125109_00098	P125109_v1_chr	95076	95251	+	176	16
P125109_00099	P125109_v1_chr	95764	97464	+	1701	132
P125109_00100	P125109_v1_chr	98060	98537	+	478	17
P125109_00101	P125109_v1_chr	98583	100259	+	1677	29
P125109_00102	P125109_v1_chr	100644	101075	+	432	0
P125109_00103	P125109_v1_chr	101140	101285	-	146	8
P125109_00104	P125109_v1_chr	101313	102077	-	765	1
P125109_00105	P125109_v1_chr	102125	102465	-	341	13
P125109_00106	P125109_v1_chr	102550	103289	-	740	7
P125109_00107	P125109_v1_chr	103385	104275	-	891	23
P125109_00108	P125109_v1_chr	104403	105561	-	1159	33
P125109_00109	P125109_v1_chr	105851	107975	-	2125	4
P125109_00110	P125109_v1_chr	108229	108960	+	732	20
P125109_00111	P125109_v1_chr	109053	109124	-	72	4
P125109_00112	P125109_v1_chr	109202	109795	-	594	25
P125109_00113	P125109_v1_chr	110097	112713	-	2617	74
P125109_00114	P125109_v1_chr	113122	115238	-	2117	56
P125109_00115	P125109_v1_chr	115344	115902	-	559	65
P125109_00116	P125109_v1_chr	116420	116797	+	378	24
P125109_00117	P125109_v1_chr	116914	117540	-	627	19
P125109_00118	P125109_v1_chr	117831	119183	-	1353	27
P125109_00119	P125109_v1_chr	119365	120903	-	1539	37
P125109_00120	P125109_v1_chr	121243	122004	+	762	32
P125109_00121	P125109_v1_chr	122207	122898	+	692	24
P125109_00122	P125109_v1_chr	123083	123720	-	638	12
P125109_00123	P125109_v1_chr	123865	125314	-	1450	36
P125109_00124	P125109_v1_chr	125388	126273	-	886	22
P125109_00125	P125109_v1_chr	126322	126402	-	81	0
P125109_00126	P125109_v1_chr	126616	128109	-	1494	43
P125109_00127	P125109_v1_chr	128177	128390	+	214	13
P125109_00128	P125109_v1_chr	128202	128312	+	111	0
P125109_00129	P125109_v1_chr	128644	128897	+	254	11
P125109_00130	P125109_v1_chr	129039	129584	-	546	17
P125109_00131	P125109_v1_chr	129735	130995	-	1261	46
P125109_00132	P125109_v1_chr	131107	132089	-	983	18
P125109_00133	P125109_v1_chr	132246	133660	-	1415	53
P125109_00134	P125109_v1_chr	133756	133834	-	79	28
P125109_00135	P125109_v1_chr	134491	135341	+	851	126
P125109_00136	P125109_v1_chr	135757	137309	+	1553	62
P125109_00137	P125109_v1_chr	137481	137926	+	446	14
P125109_00138	P125109_v1_chr	138036	138193	-	158	6
P125109_00139	P125109_v1_chr	138259	139163	+	905	11
P125109_00140	P125109_v1_chr	139869	140282	+	414	11
P125109_00141	P125109_v1_chr	140329	141176	+	848	11
P125109_00142	P125109_v1_chr	141267	141596	+	330	1
P125109_00143	P125109_v1_chr	141648	143238	+	1591	0
P125109_00144	P125109_v1_chr	143401	144740	+	1340	2
P125109_00145	P125109_v1_chr	144885	146108	+	1224	3
P125109_00146	P125109_v1_chr	146237	147211	+	975	3
P125109_00147	P125109_v1_chr	147322	148507	+	1186	3
P125109_00148	P125109_v1_chr	148638	149758	+	1121	5
P125109_00149	P125109_v1_chr	149879	150840	+	962	3
P125109_00150	P125109_v1_chr	151065	152393	+	1329	2
P125109_00151	P125109_v1_chr	152533	153361	+	829	11
P125109_00152	P125109_v1_chr	153455	154202	+	748	4
P125109_00153	P125109_v1_chr	154282	155418	+	1137	4
P125109_00154	P125109_v1_chr	155605	156641	+	1037	2
P125109_00155	P125109_v1_chr	156857	157683	+	827	0
P125109_00156	P125109_v1_chr	158053	158501	+	449	3
P125109_00157	P125109_v1_chr	158612	161047	+	2436	7
P125109_00158	P125109_v1_chr	161469	161825	+	357	9
P125109_00159	P125109_v1_chr	161927	162188	-	262	5
P125109_00160	P125109_v1_chr	162352	162886	-	535	26
P125109_00161	P125109_v1_chr	162990	163821	+	832	10
P125109_00162	P125109_v1_chr	163929	164101	-	173	3
P125109_00163	P125109_v1_chr	164185	164854	-	670	12
P125109_00164	P125109_v1_chr	164916	165474	-	559	0
P125109_00165	P125109_v1_chr	165700	166639	+	940	46
