# Program:featureCounts v1.6.4; Command:"featureCounts" "-M" "--fraction" "-t" "gene" "-g" "ID" "-s" "0" "-a" "/pub37/alexp/data/TRADIS/v2_WY_macro/D7795_v3_2018.tradis.gff" "-o" "D7795_output_MAC_1.deseq.fc.tsv" "D7795_output_MAC_1.deseq.bam" 
Geneid	Chr	Start	End	Strand	Length	D7795_output_MAC_1.deseq.bam
D7795_00001	D7795_v1_chr	169	255	+	87	3
D7795_00002	D7795_v1_chr	337	2799	+	2463	282
D7795_00003	D7795_v1_chr	2801	3730	+	930	129
D7795_00004	D7795_v1_chr	3734	5020	+	1287	353
D7795_00005	D7795_v1_chr	5114	5887	-	774	310
D7795_00006	D7795_v1_chr	5966	6973	-	1008	177
D7795_00007	D7795_v1_chr	6921	7397	-	477	130
D7795_00008	D7795_v1_chr	7666	8619	+	954	122
D7795_00009	D7795_v1_chr	8730	9320	+	591	115
D7795_00010	D7795_v1_chr	9377	9823	-	447	16
D7795_00011	D7795_v1_chr	10092	10805	-	714	148
D7795_00012	D7795_v1_chr	10841	11245	-	405	256
D7795_00013	D7795_v1_chr	11594	13510	+	1917	0
D7795_00014	D7795_v1_chr	13508	13592	+	85	11
D7795_00015	D7795_v1_chr	13596	14735	+	1140	7
D7795_00016	D7795_v1_chr	14682	14822	-	141	12
D7795_00017	D7795_v1_chr	14721	14785	+	65	0
D7795_00018	D7795_v1_chr	15016	15963	+	948	238
D7795_00019	D7795_v1_chr	16090	16434	+	345	8
D7795_00020	D7795_v1_chr	16447	16495	-	49	18
D7795_00021	D7795_v1_chr	16495	17028	-	534	269
D7795_00022	D7795_v1_chr	17027	17113	+	87	0
D7795_00023	D7795_v1_chr	17045	17488	-	444	34
D7795_00024	D7795_v1_chr	17869	19968	+	2100	674
D7795_00025	D7795_v1_chr	20060	23056	+	2997	571
D7795_00026	D7795_v1_chr	23337	24041	+	705	451
D7795_00027	D7795_v1_chr	24471	25013	+	543	457
D7795_00028	D7795_v1_chr	25114	25800	+	687	578
D7795_00029	D7795_v1_chr	25805	28426	+	2622	782
D7795_00030	D7795_v1_chr	28427	29434	+	1008	279
D7795_00031	D7795_v1_chr	29435	29980	+	546	174
D7795_00032	D7795_v1_chr	29996	30514	+	519	37
D7795_00033	D7795_v1_chr	30480	31211	+	732	82
D7795_00034	D7795_v1_chr	31275	32120	+	846	346
D7795_00035	D7795_v1_chr	32159	32446	+	288	96
D7795_00036	D7795_v1_chr	32546	32995	-	450	0
D7795_00037	D7795_v1_chr	33357	34361	+	1005	2
D7795_00038	D7795_v1_chr	34369	34809	-	441	0
D7795_00039	D7795_v1_chr	35332	37050	+	1719	1940
D7795_00040	D7795_v1_chr	37096	38658	-	1563	882
D7795_00041	D7795_v1_chr	38766	39527	-	762	154
D7795_00042	D7795_v1_chr	40121	40462	+	342	344
D7795_00043	D7795_v1_chr	40504	41613	+	1110	442
D7795_00044	D7795_v1_chr	41618	41697	+	80	0
D7795_00045	D7795_v1_chr	41712	42902	+	1191	515
D7795_00046	D7795_v1_chr	42927	44174	+	1248	734
D7795_00047	D7795_v1_chr	44301	46016	+	1716	1419
D7795_00048	D7795_v1_chr	46179	47345	+	1167	17
D7795_00049	D7795_v1_chr	47413	48306	+	894	112
D7795_00050	D7795_v1_chr	48361	50400	-	2040	713
D7795_00051	D7795_v1_chr	50440	51813	-	1374	528
D7795_00052	D7795_v1_chr	52269	52532	-	264	0
D7795_00053	D7795_v1_chr	52308	52517	+	210	0
D7795_00054	D7795_v1_chr	52638	52853	+	216	0
D7795_00055	D7795_v1_chr	52861	53799	+	939	0
D7795_00056	D7795_v1_chr	53844	56678	+	2835	93
D7795_00057	D7795_v1_chr	56678	57178	+	501	0
D7795_00058	D7795_v1_chr	57333	57782	+	450	77
D7795_00059	D7795_v1_chr	57785	58735	+	951	47
D7795_00060	D7795_v1_chr	58935	60137	+	1203	367
D7795_00061	D7795_v1_chr	60153	61073	+	921	99
D7795_00062	D7795_v1_chr	61095	61781	-	687	300
D7795_00063	D7795_v1_chr	61783	63441	-	1659	1715
D7795_00064	D7795_v1_chr	61796	62023	+	228	0
D7795_00065	D7795_v1_chr	63537	64838	-	1302	458
D7795_00066	D7795_v1_chr	64851	66620	-	1770	241
D7795_00067	D7795_v1_chr	66637	66876	-	240	0
D7795_00068	D7795_v1_chr	66895	67034	-	140	0
D7795_00069	D7795_v1_chr	66899	67031	+	133	0
D7795_00070	D7795_v1_chr	67035	68375	-	1341	443
D7795_00071	D7795_v1_chr	68695	69663	+	969	346
D7795_00072	D7795_v1_chr	69693	69986	+	294	0
D7795_00073	D7795_v1_chr	69983	70852	+	870	185
D7795_00074	D7795_v1_chr	70863	72383	+	1521	118
D7795_00075	D7795_v1_chr	72383	72934	+	552	240
D7795_00076	D7795_v1_chr	72912	73820	+	909	166
D7795_00077	D7795_v1_chr	74000	74821	+	822	39
D7795_00078	D7795_v1_chr	74827	74904	+	78	59
D7795_00079	D7795_v1_chr	74874	74987	-	114	3
D7795_00080	D7795_v1_chr	75683	76831	+	1149	2
D7795_00081	D7795_v1_chr	76850	80077	+	3228	42
D7795_00082	D7795_v1_chr	80351	80746	+	396	337
D7795_00083	D7795_v1_chr	80824	81420	-	597	164
D7795_00084	D7795_v1_chr	81530	82315	-	786	167
D7795_00085	D7795_v1_chr	82369	83922	-	1554	305
D7795_00086	D7795_v1_chr	83985	85202	-	1218	258
D7795_00087	D7795_v1_chr	85314	86456	-	1143	236
D7795_00088	D7795_v1_chr	86491	88008	-	1518	725
D7795_00089	D7795_v1_chr	88489	89259	+	771	137
