# Program:featureCounts v1.6.4; Command:"featureCounts" "-M" "-t" "gene" "-g" "ID" "-s" "0" "-a" "/pub37/alexp/data/TRADIS/v2_WY_macro/D7795_v3_2018.ess_90.gff" "-o" "D7795_input_LB.ess.fc.tsv" "D7795_input_LB.ess.bam" 
Geneid	Chr	Start	End	Strand	Length	D7795_input_LB.ess.bam
D7795_00001	D7795_v1_chr	169	247	+	79	3
D7795_00002	D7795_v1_chr	337	2553	+	2217	25
D7795_00003	D7795_v1_chr	2801	3637	+	837	8
D7795_00004	D7795_v1_chr	3734	4892	+	1159	20
D7795_00005	D7795_v1_chr	5191	5887	-	697	14
D7795_00006	D7795_v1_chr	6066	6973	-	908	13
D7795_00007	D7795_v1_chr	6968	7397	-	430	10
D7795_00008	D7795_v1_chr	7666	8524	+	859	18
D7795_00009	D7795_v1_chr	8730	9261	+	532	6
D7795_00010	D7795_v1_chr	9421	9823	-	403	3
D7795_00011	D7795_v1_chr	10163	10805	-	643	18
D7795_00012	D7795_v1_chr	10881	11245	-	365	12
D7795_00013	D7795_v1_chr	11594	13319	+	1726	4
D7795_00014	D7795_v1_chr	13508	13584	+	77	2
D7795_00015	D7795_v1_chr	13596	14621	+	1026	26
D7795_00016	D7795_v1_chr	14696	14822	-	127	3
D7795_00017	D7795_v1_chr	14721	14779	+	59	0
D7795_00018	D7795_v1_chr	15016	15869	+	854	75
D7795_00019	D7795_v1_chr	16090	16400	+	311	13
D7795_00020	D7795_v1_chr	16451	16495	-	45	10
D7795_00021	D7795_v1_chr	16548	17028	-	481	30
D7795_00022	D7795_v1_chr	17027	17105	+	79	2
D7795_00023	D7795_v1_chr	17089	17488	-	400	9
D7795_00024	D7795_v1_chr	17869	19758	+	1890	51
D7795_00025	D7795_v1_chr	20060	22757	+	2698	29
D7795_00026	D7795_v1_chr	23337	23971	+	635	72
D7795_00027	D7795_v1_chr	24471	24959	+	489	50
D7795_00028	D7795_v1_chr	25114	25732	+	619	37
D7795_00029	D7795_v1_chr	25805	28164	+	2360	38
D7795_00030	D7795_v1_chr	28427	29334	+	908	13
D7795_00031	D7795_v1_chr	29435	29926	+	492	8
D7795_00032	D7795_v1_chr	29996	30463	+	468	3
D7795_00033	D7795_v1_chr	30480	31138	+	659	9
D7795_00034	D7795_v1_chr	31275	32036	+	762	21
D7795_00035	D7795_v1_chr	32159	32418	+	260	12
D7795_00036	D7795_v1_chr	32591	32995	-	405	12
D7795_00037	D7795_v1_chr	33357	34261	+	905	20
D7795_00038	D7795_v1_chr	34413	34809	-	397	2
D7795_00039	D7795_v1_chr	35332	36879	+	1548	195
D7795_00040	D7795_v1_chr	37252	38658	-	1407	83
D7795_00041	D7795_v1_chr	38842	39527	-	686	60
D7795_00042	D7795_v1_chr	40121	40428	+	308	28
D7795_00043	D7795_v1_chr	40504	41502	+	999	22
D7795_00044	D7795_v1_chr	41618	41689	+	72	0
D7795_00045	D7795_v1_chr	41712	42783	+	1072	22
D7795_00046	D7795_v1_chr	42927	44050	+	1124	79
D7795_00047	D7795_v1_chr	44301	45845	+	1545	137
D7795_00048	D7795_v1_chr	46179	47229	+	1051	8
D7795_00049	D7795_v1_chr	47413	48217	+	805	15
D7795_00050	D7795_v1_chr	48565	50400	-	1836	40
D7795_00051	D7795_v1_chr	50577	51813	-	1237	95
D7795_00052	D7795_v1_chr	52295	52532	-	238	0
D7795_00053	D7795_v1_chr	52308	52496	+	189	0
D7795_00054	D7795_v1_chr	52638	52832	+	195	0
D7795_00055	D7795_v1_chr	52861	53706	+	846	0
D7795_00056	D7795_v1_chr	53844	56395	+	2552	1
D7795_00057	D7795_v1_chr	56678	57128	+	451	3
D7795_00058	D7795_v1_chr	57333	57737	+	405	8
D7795_00059	D7795_v1_chr	57785	58640	+	856	0
D7795_00060	D7795_v1_chr	58935	60017	+	1083	27
D7795_00061	D7795_v1_chr	60153	60981	+	829	6
D7795_00062	D7795_v1_chr	61163	61781	-	619	37
D7795_00063	D7795_v1_chr	61948	63441	-	1494	134
D7795_00064	D7795_v1_chr	61796	62001	+	206	25
D7795_00065	D7795_v1_chr	63667	64838	-	1172	44
D7795_00066	D7795_v1_chr	65028	66620	-	1593	33
D7795_00067	D7795_v1_chr	66661	66876	-	216	1
D7795_00068	D7795_v1_chr	66909	67034	-	126	0
D7795_00069	D7795_v1_chr	66899	67018	+	120	0
D7795_00070	D7795_v1_chr	67169	68375	-	1207	66
D7795_00071	D7795_v1_chr	68695	69567	+	873	33
D7795_00072	D7795_v1_chr	69693	69957	+	265	1
D7795_00073	D7795_v1_chr	69983	70765	+	783	16
D7795_00074	D7795_v1_chr	70863	72231	+	1369	10
D7795_00075	D7795_v1_chr	72383	72879	+	497	11
D7795_00076	D7795_v1_chr	72912	73730	+	819	10
D7795_00077	D7795_v1_chr	74000	74739	+	740	0
D7795_00078	D7795_v1_chr	74827	74897	+	71	4
D7795_00079	D7795_v1_chr	74885	74987	-	103	2
D7795_00080	D7795_v1_chr	75683	76717	+	1035	4
D7795_00081	D7795_v1_chr	76850	79755	+	2906	43
D7795_00082	D7795_v1_chr	80351	80707	+	357	34
D7795_00083	D7795_v1_chr	80883	81420	-	538	11
D7795_00084	D7795_v1_chr	81608	82315	-	708	35
D7795_00085	D7795_v1_chr	82524	83922	-	1399	43
D7795_00086	D7795_v1_chr	84106	85202	-	1097	26
D7795_00087	D7795_v1_chr	85428	86456	-	1029	13
D7795_00088	D7795_v1_chr	86642	88008	-	1367	50
D7795_00089	D7795_v1_chr	88489	89182	+	694	23
D7795_00090	D7795_v1_chr	89275	90122	+	848	25
D7795_00091	D7795_v1_chr	90266	91424	+	1159	9
D7795_00092	D7795_v1_chr	91549	91808	+	260	5
D7795_00093	D7795_v1_chr	91983	92601	+	619	12
D7795_00094	D7795_v1_chr	92757	93267	+	511	5
D7795_00095	D7795_v1_chr	93412	93619	+	208	24
D7795_00096	D7795_v1_chr	93928	94308	+	381	39
D7795_00097	D7795_v1_chr	94461	94541	-	81	18
D7795_00098	D7795_v1_chr	94603	94864	-	262	25
D7795_00099	D7795_v1_chr	94902	94980	+	79	10
D7795_00100	D7795_v1_chr	95074	95249	+	176	12
D7795_00101	D7795_v1_chr	95762	97462	+	1701	135
D7795_00102	D7795_v1_chr	98205	98682	+	478	6
D7795_00103	D7795_v1_chr	98728	100404	+	1677	10
D7795_00104	D7795_v1_chr	100789	101220	+	432	3
D7795_00105	D7795_v1_chr	101285	101430	-	146	2
D7795_00106	D7795_v1_chr	101458	102222	-	765	12
D7795_00107	D7795_v1_chr	102270	102610	-	341	5
D7795_00108	D7795_v1_chr	102695	103434	-	740	7
D7795_00109	D7795_v1_chr	103530	104420	-	891	13
D7795_00110	D7795_v1_chr	104548	105706	-	1159	16
D7795_00111	D7795_v1_chr	105995	108117	-	2123	1
D7795_00112	D7795_v1_chr	108371	109102	+	732	8
D7795_00113	D7795_v1_chr	109195	109266	-	72	2
D7795_00114	D7795_v1_chr	109344	109937	-	594	18
D7795_00115	D7795_v1_chr	110239	112855	-	2617	54
D7795_00116	D7795_v1_chr	113264	115380	-	2117	34
D7795_00117	D7795_v1_chr	115486	116044	-	559	47
D7795_00118	D7795_v1_chr	116562	116939	+	378	22
D7795_00119	D7795_v1_chr	117056	117682	-	627	13
D7795_00120	D7795_v1_chr	117973	119325	-	1353	21
D7795_00121	D7795_v1_chr	119507	121045	-	1539	19
D7795_00122	D7795_v1_chr	121385	122146	+	762	5
D7795_00123	D7795_v1_chr	122349	123040	+	692	8
D7795_00124	D7795_v1_chr	123225	123862	-	638	10
D7795_00125	D7795_v1_chr	124007	125456	-	1450	21
D7795_00126	D7795_v1_chr	125530	126415	-	886	22
D7795_00127	D7795_v1_chr	126464	126544	-	81	0
D7795_00128	D7795_v1_chr	126758	128251	-	1494	20
D7795_00129	D7795_v1_chr	128319	128532	+	214	5
D7795_00130	D7795_v1_chr	128344	128454	+	111	0
D7795_00131	D7795_v1_chr	128786	129039	+	254	0
D7795_00132	D7795_v1_chr	129181	129726	-	546	14
D7795_00133	D7795_v1_chr	129877	131137	-	1261	28
D7795_00134	D7795_v1_chr	131249	132231	-	983	13
D7795_00135	D7795_v1_chr	132388	133802	-	1415	39
D7795_00136	D7795_v1_chr	133898	133976	-	79	15
D7795_00137	D7795_v1_chr	134633	135483	+	851	108
D7795_00138	D7795_v1_chr	135899	137451	+	1553	34
D7795_00139	D7795_v1_chr	137623	138068	+	446	2
D7795_00140	D7795_v1_chr	138178	138335	-	158	4
D7795_00141	D7795_v1_chr	138401	139305	+	905	10
D7795_00142	D7795_v1_chr	140011	140424	+	414	0
D7795_00143	D7795_v1_chr	140471	141318	+	848	5
D7795_00144	D7795_v1_chr	141409	141738	+	330	0
D7795_00145	D7795_v1_chr	141790	143380	+	1591	0
D7795_00146	D7795_v1_chr	143543	144882	+	1340	0
D7795_00147	D7795_v1_chr	145027	146250	+	1224	0
D7795_00148	D7795_v1_chr	146379	147353	+	975	0
D7795_00149	D7795_v1_chr	147464	148649	+	1186	0
D7795_00150	D7795_v1_chr	148780	149900	+	1121	0
D7795_00151	D7795_v1_chr	150021	150982	+	962	0
D7795_00152	D7795_v1_chr	151207	152535	+	1329	1
D7795_00153	D7795_v1_chr	152675	153503	+	829	6
D7795_00154	D7795_v1_chr	153597	154344	+	748	0
D7795_00155	D7795_v1_chr	154424	155560	+	1137	0
D7795_00156	D7795_v1_chr	155747	156783	+	1037	1
D7795_00157	D7795_v1_chr	156999	157825	+	827	0
D7795_00158	D7795_v1_chr	158195	158643	+	449	4
D7795_00159	D7795_v1_chr	158754	161189	+	2436	2
D7795_00160	D7795_v1_chr	161611	161967	+	357	2
D7795_00161	D7795_v1_chr	162139	163029	-	891	24
D7795_00162	D7795_v1_chr	163133	163964	+	832	10
D7795_00163	D7795_v1_chr	164072	164244	-	173	3
D7795_00164	D7795_v1_chr	164328	164997	-	670	2
D7795_00165	D7795_v1_chr	165059	165617	-	559	2
D7795_00166	D7795_v1_chr	165843	166782	+	940	25
D7795_00167	D7795_v1_chr	167037	168119	-	1083	18
D7795_00168	D7795_v1_chr	168247	169494	-	1248	28
D7795_00169	D7795_v1_chr	169547	169941	-	395	12
D7795_00170	D7795_v1_chr	170252	171056	-	805	8
D7795_00171	D7795_v1_chr	171144	171651	+	508	15
D7795_00172	D7795_v1_chr	171704	172473	+	770	13
D7795_00173	D7795_v1_chr	172745	173600	-	856	9
D7795_00174	D7795_v1_chr	173740	175006	-	1267	23
D7795_00175	D7795_v1_chr	175307	176540	-	1234	30
D7795_00176	D7795_v1_chr	177106	177794	+	689	9
D7795_00177	D7795_v1_chr	177887	178028	-	142	3
D7795_00178	D7795_v1_chr	178030	180427	+	2398	35
D7795_00179	D7795_v1_chr	180708	182403	+	1696	12
D7795_00180	D7795_v1_chr	182793	184075	+	1283	2
D7795_00181	D7795_v1_chr	184506	184762	+	257	1
D7795_00182	D7795_v1_chr	184907	185619	-	713	10
D7795_00183	D7795_v1_chr	185794	187254	-	1461	24
D7795_00184	D7795_v1_chr	187643	189981	+	2339	35
D7795_00185	D7795_v1_chr	190326	190744	-	419	34
D7795_00186	D7795_v1_chr	191194	191485	-	292	24
D7795_00187	D7795_v1_chr	191756	192082	+	327	11
D7795_00188	D7795_v1_chr	192353	193211	+	859	9
D7795_00189	D7795_v1_chr	193303	194447	+	1145	11
D7795_00190	D7795_v1_chr	194564	195449	+	886	14
D7795_00191	D7795_v1_chr	195557	196248	+	692	17
D7795_00192	D7795_v1_chr	196433	197148	-	716	10
D7795_00193	D7795_v1_chr	197255	198029	-	775	11
D7795_00194	D7795_v1_chr	198174	198522	-	349	5
D7795_00195	D7795_v1_chr	198685	200134	+	1450	27
D7795_00196	D7795_v1_chr	200612	202763	-	2152	39
D7795_00197	D7795_v1_chr	202969	203452	+	484	0
D7795_00198	D7795_v1_chr	203629	204225	-	597	0
D7795_00199	D7795_v1_chr	204334	205168	+	835	15
D7795_00200	D7795_v1_chr	205257	205950	+	694	10
D7795_00201	D7795_v1_chr	206255	207226	-	972	24
D7795_00202	D7795_v1_chr	207490	209793	-	2304	44
D7795_00203	D7795_v1_chr	209876	210491	-	616	18
D7795_00204	D7795_v1_chr	210593	211078	-	486	45
D7795_00205	D7795_v1_chr	211448	211844	+	397	28
D7795_00206	D7795_v1_chr	211950	213056	+	1107	49
D7795_00207	D7795_v1_chr	212037	212130	-	94	0
D7795_00208	D7795_v1_chr	213224	213566	-	343	2
D7795_00209	D7795_v1_chr	213746	214515	-	770	10
D7795_00210	D7795_v1_chr	214720	215432	-	713	8
D7795_00211	D7795_v1_chr	215601	216032	-	432	3
D7795_00212	D7795_v1_chr	216170	217447	-	1278	29
D7795_00213	D7795_v1_chr	217682	218529	-	848	24
D7795_00214	D7795_v1_chr	218598	219008	-	411	2
D7795_00215	D7795_v1_chr	219255	219889	-	635	14
D7795_00216	D7795_v1_chr	219959	220436	-	478	24
D7795_00217	D7795_v1_chr	220464	222691	+	2228	51
D7795_00218	D7795_v1_chr	223079	225349	+	2271	44
D7795_00219	D7795_v1_chr	225632	225835	-	204	5
D7795_00220	D7795_v1_chr	225894	227913	+	2020	42
D7795_00221	D7795_v1_chr	228186	228904	+	719	8
D7795_00222	D7795_v1_chr	228983	229784	+	802	5
D7795_00223	D7795_v1_chr	229870	231722	+	1853	30
D7795_00224	D7795_v1_chr	231964	232150	+	187	14
D7795_00225	D7795_v1_chr	232863	233367	+	505	44
D7795_00226	D7795_v1_chr	233509	235901	+	2393	110
D7795_00227	D7795_v1_chr	236184	236861	+	678	16
D7795_00228	D7795_v1_chr	236955	237416	+	462	12
D7795_00229	D7795_v1_chr	237464	237893	+	430	7
D7795_00230	D7795_v1_chr	237940	238417	+	478	4
D7795_00231	D7795_v1_chr	238467	239225	+	759	12
D7795_00232	D7795_v1_chr	239301	239389	+	89	0
D7795_00233	D7795_v1_chr	239545	240697	-	1153	2
D7795_00234	D7795_v1_chr	240867	242146	+	1280	19
D7795_00235	D7795_v1_chr	242370	242680	+	311	0
D7795_00236	D7795_v1_chr	242877	243438	-	562	16
D7795_00237	D7795_v1_chr	243555	244275	-	721	6
D7795_00238	D7795_v1_chr	244337	244966	-	630	7
D7795_00239	D7795_v1_chr	245051	246417	+	1367	119
D7795_00240	D7795_v1_chr	246698	247983	+	1286	47
D7795_00241	D7795_v1_chr	248048	248153	+	106	1
D7795_00242	D7795_v1_chr	248278	249320	+	1043	15
D7795_00243	D7795_v1_chr	249632	252523	-	2892	65
D7795_00244	D7795_v1_chr	252747	253095	-	349	12
D7795_00245	D7795_v1_chr	253342	254513	+	1172	30
D7795_00246	D7795_v1_chr	254548	254657	+	110	0
D7795_00247	D7795_v1_chr	254762	255504	-	743	1
D7795_00248	D7795_v1_chr	255801	258206	-	2406	17
D7795_00249	D7795_v1_chr	258523	259238	-	716	0
D7795_00250	D7795_v1_chr	259522	259647	+	126	0
D7795_00251	D7795_v1_chr	259689	260342	+	654	0
D7795_00252	D7795_v1_chr	260600	261431	+	832	0
D7795_00253	D7795_v1_chr	261668	262321	+	654	0
D7795_00254	D7795_v1_chr	262540	263042	+	503	0
D7795_00255	D7795_v1_chr	263121	263180	+	60	2
D7795_00256	D7795_v1_chr	263238	264315	+	1078	0
D7795_00257	D7795_v1_chr	264512	264556	+	45	2
D7795_00258	D7795_v1_chr	264747	265430	+	684	0
D7795_00259	D7795_v1_chr	265518	266290	+	773	0
D7795_00260	D7795_v1_chr	266387	267604	+	1218	3
D7795_00261	D7795_v1_chr	267771	269944	+	2174	0
D7795_00262	D7795_v1_chr	270308	270745	+	438	6
D7795_00263	D7795_v1_chr	270797	271720	+	924	0
D7795_00264	D7795_v1_chr	271928	272338	+	411	0
D7795_00265	D7795_v1_chr	272387	273097	+	711	0
D7795_00266	D7795_v1_chr	273175	274209	+	1035	0
D7795_00267	D7795_v1_chr	274320	274857	+	538	9
D7795_00268	D7795_v1_chr	274940	278074	+	3135	0
D7795_00269	D7795_v1_chr	278435	279298	+	864	0
D7795_00270	D7795_v1_chr	279574	281161	+	1588	14
D7795_00271	D7795_v1_chr	281413	283340	+	1928	30
D7795_00272	D7795_v1_chr	283610	283960	+	351	8
D7795_00273	D7795_v1_chr	284062	285225	+	1164	0
D7795_00274	D7795_v1_chr	285464	285698	-	235	9
D7795_00275	D7795_v1_chr	285705	285885	-	181	0
D7795_00276	D7795_v1_chr	286083	286574	+	492	7
D7795_00277	D7795_v1_chr	286625	287005	+	381	6
D7795_00278	D7795_v1_chr	287079	287710	+	632	13
D7795_00279	D7795_v1_chr	288025	289572	-	1548	0
D7795_00280	D7795_v1_chr	289753	290390	-	638	9
D7795_00281	D7795_v1_chr	290427	290791	-	365	17
D7795_00282	D7795_v1_chr	290991	291725	-	735	19
