# Program:featureCounts v1.6.4; Command:"featureCounts" "-M" "--fraction" "-t" "gene" "-g" "ID" "-s" "0" "-a" "/pub37/alexp/data/TRADIS/v2_WY_macro/P125109_v3_2018.tradis.gff" "-o" "P125109_input_LB_1.deseq.fc.tsv" "P125109_input_LB_1.deseq.bam" 
Geneid	Chr	Start	End	Strand	Length	P125109_input_LB_1.deseq.bam
P125109_00001	P125109_v1_chr	169	255	+	87	335
P125109_00002	P125109_v1_chr	337	2799	+	2463	1489
P125109_00003	P125109_v1_chr	2801	3730	+	930	263
P125109_00004	P125109_v1_chr	3734	5020	+	1287	880
P125109_00005	P125109_v1_chr	5114	5887	-	774	716
P125109_00006	P125109_v1_chr	5966	7396	-	1431	1160
P125109_00007	P125109_v1_chr	7665	8618	+	954	646
P125109_00008	P125109_v1_chr	8729	9319	+	591	1095
P125109_00009	P125109_v1_chr	9376	9942	-	567	847
P125109_00010	P125109_v1_chr	10092	10805	-	714	744
P125109_00011	P125109_v1_chr	10841	11245	-	405	117
P125109_00012	P125109_v1_chr	11594	13510	+	1917	39
P125109_00013	P125109_v1_chr	13508	13592	+	85	93
P125109_00014	P125109_v1_chr	13596	14735	+	1140	349
P125109_00015	P125109_v1_chr	14682	14822	-	141	75
P125109_00016	P125109_v1_chr	14721	14785	+	65	0
P125109_00017	P125109_v1_chr	15016	15963	+	948	690
P125109_00018	P125109_v1_chr	16090	16434	+	345	99
P125109_00019	P125109_v1_chr	16447	16495	-	49	136
P125109_00020	P125109_v1_chr	16495	17028	-	534	782
P125109_00021	P125109_v1_chr	17027	17113	+	87	0
P125109_00022	P125109_v1_chr	17045	17488	-	444	104
P125109_00023	P125109_v1_chr	17869	19968	+	2100	1184
P125109_00024	P125109_v1_chr	20060	23056	+	2997	2869
P125109_00025	P125109_v1_chr	23337	24041	+	705	1463
P125109_00026	P125109_v1_chr	24471	25013	+	543	2481
P125109_00027	P125109_v1_chr	25114	25800	+	687	1253
P125109_00028	P125109_v1_chr	25805	28426	+	2622	2118
P125109_00029	P125109_v1_chr	28427	29434	+	1008	1408
P125109_00030	P125109_v1_chr	29435	29980	+	546	309
P125109_00031	P125109_v1_chr	29996	30514	+	519	320
P125109_00032	P125109_v1_chr	30480	31211	+	732	623
P125109_00033	P125109_v1_chr	31275	32120	+	846	579
P125109_00034	P125109_v1_chr	32159	32446	+	288	407
P125109_00035	P125109_v1_chr	32546	32995	-	450	103
P125109_00036	P125109_v1_chr	33357	34361	+	1005	119
P125109_00037	P125109_v1_chr	34369	34809	-	441	2
P125109_00038	P125109_v1_chr	35332	37050	+	1719	6870
P125109_00039	P125109_v1_chr	37096	38658	-	1563	2672
P125109_00040	P125109_v1_chr	38766	39527	-	762	573
P125109_00041	P125109_v1_chr	40121	41614	+	1494	1541
P125109_00042	P125109_v1_chr	41619	41698	+	80	25
P125109_00043	P125109_v1_chr	41713	42903	+	1191	1239
P125109_00044	P125109_v1_chr	42928	44175	+	1248	4133
P125109_00045	P125109_v1_chr	44302	46017	+	1716	4069
P125109_00046	P125109_v1_chr	46180	47346	+	1167	581
P125109_00047	P125109_v1_chr	47414	48307	+	894	497
P125109_00048	P125109_v1_chr	48362	50401	-	2040	2008
P125109_00049	P125109_v1_chr	50441	51814	-	1374	1902
P125109_00050	P125109_v1_chr	52270	52533	-	264	0
P125109_00051	P125109_v1_chr	52309	52518	+	210	0
P125109_00052	P125109_v1_chr	52639	52854	+	216	130
P125109_00053	P125109_v1_chr	52862	53800	+	939	1
P125109_00054	P125109_v1_chr	53845	56679	+	2835	11
P125109_00055	P125109_v1_chr	56679	57179	+	501	1
P125109_00056	P125109_v1_chr	57334	57783	+	450	132
P125109_00057	P125109_v1_chr	57786	58736	+	951	3
P125109_00058	P125109_v1_chr	58936	59931	+	996	844
P125109_00059	P125109_v1_chr	59897	60139	+	243	1
P125109_00060	P125109_v1_chr	60155	61075	+	921	438
P125109_00061	P125109_v1_chr	61097	61783	-	687	1998
P125109_00062	P125109_v1_chr	61785	63443	-	1659	7034
P125109_00063	P125109_v1_chr	61798	62025	+	228	0
P125109_00064	P125109_v1_chr	63539	64840	-	1302	1063
P125109_00065	P125109_v1_chr	64853	66622	-	1770	1074
P125109_00066	P125109_v1_chr	66639	66878	-	240	351
P125109_00067	P125109_v1_chr	66897	67036	-	140	0
